Fighter Name,Record,Height,Weight,Reach,Stance,SLpM,Str. Acc,SApM,Str. Def,TD Avg,TD Acc,TD Def,Sub. Avg
Maryna Moroz,RECORD: 11-6-0,"5' 7""",125 lbs.,"67""",Orthodox,4.42,33%,4.89,51%,0.70,24%,42%,0.6
Jairzinho Rozenstruik,RECORD: 14-5-0,"6' 2""",242 lbs.,"78""",Orthodox,3.44,49%,2.78,47%,0.00,0%,75%,0.0
Shamil Gaziev,RECORD: 12-1-0,"6' 4""",265 lbs.,"78""",Orthodox,2.63,44%,4.73,42%,0.53,14%,100%,0.5
Vitor Petrino,RECORD: 11-0-0,"6' 2""",205 lbs.,"77""",Orthodox,2.74,45%,2.49,45%,3.86,68%,71%,0.8
Tyson Pedro,RECORD: 10-5-0,"6' 3""",205 lbs.,"79""",Orthodox,2.90,59%,2.39,56%,0.76,30%,50%,0.8
Muhammad Mokaev,RECORD: 12-0-0 (1 NC),"5' 7""",125 lbs.,"70""",Orthodox,1.53,48%,1.36,57%,5.75,41%,0%,1.0
Alex Perez,RECORD: 24-8-0,"5' 6""",125 lbs.,"65""",Orthodox,4.12,46%,3.14,59%,2.26,44%,82%,1.0
Umar Nurmagomedov,RECORD: 17-0-0,"5' 8""",135 lbs.,"69""",Orthodox,4.75,69%,0.56,76%,4.51,56%,100%,0.6
Bekzat Almakhan,RECORD: 11-2-0,"5' 7""",135 lbs.,"68""",Orthodox,0.20,18%,4.53,30%,0.00,0%,0%,0.0
Steve Erceg,RECORD: 12-1-0,"5' 8""",125 lbs.,"68""",Orthodox,4.57,48%,3.64,55%,1.69,30%,77%,0.8
Matt Schnell,RECORD: 16-8-0 (1 NC),"5' 8""",125 lbs.,"70""",Orthodox,4.23,38%,4.56,55%,0.59,44%,50%,1.0
Eryk Anders,RECORD: 16-8-0 (1 NC),"6' 1""",185 lbs.,"75""",Southpaw,3.41,47%,4.17,50%,1.79,26%,79%,0.1
Jamie Pickett,RECORD: 13-11-0,"6' 2""",185 lbs.,"80""",Orthodox,2.65,47%,3.62,50%,1.26,40%,67%,0.1
Vinicius Oliveira,RECORD: 20-3-0,"5' 9""",135 lbs.,"70""",Switch,5.42,47%,2.94,50%,1.69,50%,40%,0.0
Benardo Sopaj,RECORD: 11-3-0,"5' 6""",135 lbs.,"66""",Orthodox,3.06,52%,4.56,53%,3.06,75%,50%,0.0
Aiemann Zahabi,RECORD: 11-2-0,"5' 8""",135 lbs.,"68""",Orthodox,3.43,43%,3.61,71%,0.20,16%,79%,0.0
Javid Basharat,RECORD: 14-1-0 (1 NC),"5' 9""",135 lbs.,"69""",Orthodox,5.42,53%,2.97,62%,1.70,40%,85%,0.2
Christian Leroy Duncan,RECORD: 10-1-0,"6' 2""",185 lbs.,"79""",Switch,5.96,62%,3.82,50%,0.45,14%,50%,0.0
