Fighter Name,Record,Height,Weight,Reach,Stance,SLpM,Str. Acc,SApM,Str. Def,TD Avg,TD Acc,TD Def,Sub. Avg
Francisco Prado,RECORD: 12-2-0,"5' 10""",155 lbs.,"69""",Orthodox,4.58,41%,5.66,52%,0.00,0%,25%,0.4
Yazmin Jauregui,RECORD: 11-1-0,"5' 3""",115 lbs.,"64""",Orthodox,6.26,38%,5.12,55%,0.00,0%,100%,0.0
Sam Hughes,RECORD: 8-6-0,"5' 5""",115 lbs.,"64""",Orthodox,4.03,45%,4.51,56%,0.96,30%,57%,0.0
Manuel Torres,RECORD: 15-2-0,"5' 10""",155 lbs.,"73""",Switch,8.14,58%,3.15,56%,3.26,66%,88%,1.6
Chris Duncan,RECORD: 11-2-0,"5' 10""",155 lbs.,"71""",Orthodox,4.88,46%,3.65,49%,3.85,38%,33%,0.0
Raoni Barcelos,RECORD: 18-5-0,"5' 7""",135 lbs.,"67""",Orthodox,5.22,51%,4.79,61%,1.86,32%,85%,0.6
Cristian Quinonez,RECORD: 18-5-0,"5' 8""",135 lbs.,"70""",Orthodox,4.19,40%,4.55,55%,1.37,37%,84%,0.0
Jesus Aguilar,RECORD: 10-2-0,"5' 4""",125 lbs.,"62""",Orthodox,1.49,50%,1.11,59%,1.90,33%,40%,1.4
Mateus Mendonca,RECORD: 10-3-0,"5' 6""",125 lbs.,"71""",Orthodox,1.66,40%,4.14,30%,2.54,27%,55%,0.4
Edgar Chairez,RECORD: 11-5-0 (1 NC),"5' 7""",125 lbs.,"71""",Orthodox,2.69,48%,4.10,43%,0.00,0%,41%,1.7
Daniel Lacerda,RECORD: 11-6-0 (1 NC),"5' 6""",125 lbs.,"70""",Switch,3.95,45%,8.28,34%,2.32,50%,0%,1.2
Fares Ziam,RECORD: 15-4-0,"6' 1""",155 lbs.,"75""",Orthodox,2.70,48%,1.72,65%,0.81,23%,67%,0.2
Claudio Puelles,RECORD: 13-4-0,"5' 10""",155 lbs.,"72""",Southpaw,1.56,49%,2.78,46%,3.17,36%,60%,1.2
Ronaldo Rodriguez,RECORD: 17-2-0,"5' 6""",125 lbs.,"65""",Orthodox,2.00,41%,3.56,47%,1.20,50%,63%,1.8
Denys Bondar,RECORD: 14-5-0,"5' 6""",125 lbs.,"69""",Orthodox,4.59,50%,5.16,56%,3.99,58%,62%,0.0
Felipe dos Santos,RECORD: 8-1-0 (1 NC),"5' 7""",125 lbs.,"70""",Orthodox,4.53,34%,5.07,40%,0.00,0%,16%,0.5
Victor Altamirano,RECORD: 12-4-0,"5' 8""",125 lbs.,"70""",Switch,4.55,57%,3.70,54%,3.43,39%,63%,0.0
Muhammad Naimov,RECORD: 11-2-0,"5' 9""",145 lbs.,"70""",Orthodox,3.33,46%,4.57,41%,1.94,33%,57%,0.0
Erik Silva,RECORD: 9-3-0,"5' 9""",145 lbs.,"71""",Orthodox,2.07,70%,1.57,40%,3.76,80%,62%,0.0
Ilia Topuria,RECORD: 15-0-0,"5' 7""",145 lbs.,"69""",Orthodox,4.40,46%,3.35,65%,1.92,56%,92%,1.3
Alexander Volkanovski,RECORD: 26-4-0,"5' 6""",145 lbs.,"71""",Orthodox,6.16,56%,3.44,58%,1.78,37%,70%,0.2
Robert Whittaker,RECORD: 26-7-0,"6' 0""",185 lbs.,"73""",Orthodox,4.57,42%,3.45,59%,0.81,38%,82%,0.0
Paulo Costa,RECORD: 14-3-0,"6' 1""",185 lbs.,"72""",Orthodox,6.20,58%,6.38,47%,0.45,75%,80%,0.0
Ian Machado Garry,RECORD: 14-0-0,"6' 3""",170 lbs.,"74""",Orthodox,6.27,55%,3.49,53%,0.55,75%,69%,0.0
Geoff Neal,RECORD: 15-6-0,"5' 11""",170 lbs.,"75""",Southpaw,4.97,50%,5.47,57%,0.46,44%,87%,0.1
Merab Dvalishvili,RECORD: 17-4-0,"5' 6""",135 lbs.,"68""",Orthodox,4.50,41%,2.37,57%,6.43,36%,80%,0.3
Henry Cejudo,RECORD: 16-4-0,"5' 4""",135 lbs.,"64""",Orthodox,3.77,46%,3.29,60%,1.99,32%,75%,0.2
Anthony Hernandez,RECORD: 12-2-0 (1 NC),"6' 0""",185 lbs.,"75""",Orthodox,4.30,59%,3.46,45%,6.62,49%,63%,3.0
Roman Kopylov,RECORD: 12-3-0,"6' 0""",185 lbs.,"75""",Southpaw,4.66,54%,4.10,60%,0.42,50%,87%,0.0
Amanda Lemos,RECORD: 14-3-1,"5' 4""",115 lbs.,"65""",Southpaw,3.43,54%,4.21,44%,0.98,63%,57%,0.7
Mackenzie Dern,RECORD: 13-5-0,"5' 4""",115 lbs.,"63""",Orthodox,3.31,40%,4.09,51%,0.79,15%,28%,1.3
Marcos Rogerio de Lima,RECORD: 22-10-1,"6' 1""",253 lbs.,"75""",Orthodox,3.70,57%,2.90,51%,1.40,45%,59%,0.5
Junior Tafa,RECORD: 5-2-0,"6' 3""",240 lbs.,"75""",Orthodox,1.81,40%,1.86,50%,0.00,0%,81%,0.0
Rinya Nakamura,RECORD: 9-0-0,"5' 7""",135 lbs.,"68""",Southpaw,3.53,54%,1.38,67%,3.72,90%,100%,1.6
Carlos Vera,RECORD: 11-4-0,"5' 6""",135 lbs.,"69""",Orthodox,0.80,48%,2.53,45%,0.00,0%,0%,0.0
Zhang Mingyang,RECORD: 17-6-0,"6' 2""",205 lbs.,"75""",Orthodox,9.23,57%,6.39,57%,0.00,0%,0%,0.0
Brendson Ribeiro,RECORD: 15-6-0 (1 NC),"6' 3""",205 lbs.,"81""",Orthodox,8.41,46%,6.77,56%,0.00,0%,0%,0.0
Danny Barlow,RECORD: 8-0-0,"6' 2""",170 lbs.,"79""",Southpaw,8.80,52%,3.65,57%,0.00,0%,100%,0.0
Josh Quinlan,RECORD: 6-2-0 (1 NC),"6' 0""",170 lbs.,"72""",Orthodox,3.59,42%,6.91,49%,0.51,11%,60%,0.0
Oban Elliott,RECORD: 10-2-0,"6' 0""",170 lbs.,"72""",Orthodox,4.27,53%,2.17,61%,3.50,50%,0%,0.0
Val Woodburn,RECORD: 7-2-0,"5' 8""",170 lbs.,"74""",Orthodox,1.60,35%,4.93,36%,1.92,100%,50%,0.0
Miranda Maverick,RECORD: 15-5-0,"5' 3""",125 lbs.,"65""",Southpaw,3.80,47%,2.60,59%,2.49,46%,40%,0.4
Andrea Lee,RECORD: 13-9-0,"5' 6""",125 lbs.,"69""",Orthodox,4.69,46%,3.76,62%,1.85,58%,55%,0.6
Jack Hermansson,RECORD: 24-8-0,"6' 1""",185 lbs.,"77""",Orthodox,5.09,44%,3.69,56%,1.53,30%,80%,0.4
Joe Pyfer,RECORD: 12-3-0,"6' 2""",185 lbs.,"75""",Orthodox,3.66,40%,3.58,51%,1.49,41%,50%,0.9
Dan Ige,RECORD: 18-7-0,"5' 7""",145 lbs.,"71""",Orthodox,3.76,45%,3.52,57%,1.06,26%,58%,0.3
Andre Fili,RECORD: 23-11-0 (1 NC),"5' 11""",145 lbs.,"74""",Orthodox,3.85,37%,4.11,51%,2.16,47%,69%,0.3
Ihor Potieria,RECORD: 20-5-0,"6' 3""",185 lbs.,"75""",Southpaw,5.19,50%,5.01,51%,0.00,0%,57%,0.0
Robert Bryczek,RECORD: 17-6-0,"6' 0""",185 lbs.,"75""",Orthodox,2.13,24%,4.47,60%,0.00,0%,100%,0.0
Gregory Rodrigues,RECORD: 15-5-0,"6' 3""",185 lbs.,"75""",Orthodox,6.08,55%,5.30,51%,2.46,45%,100%,0.5
Brad Tavares,RECORD: 20-10-0,"6' 1""",185 lbs.,"74""",Orthodox,3.38,43%,3.15,55%,0.78,26%,81%,0.0
Michael Johnson,RECORD: 23-19-0,"5' 10""",155 lbs.,"73""",Southpaw,4.27,39%,3.83,57%,0.62,41%,81%,0.0
Darrius Flowers,RECORD: 12-7-1,"5' 9""",155 lbs.,"71""",Orthodox,2.94,54%,5.16,43%,0.63,20%,60%,0.0
Rodolfo Vieira,RECORD: 10-2-0,"6' 0""",185 lbs.,"73""",Orthodox,3.19,54%,4.60,49%,4.18,30%,100%,1.6
Armen Petrosyan,RECORD: 9-3-0,"6' 3""",185 lbs.,"71""",Orthodox,5.69,52%,2.90,56%,0.22,33%,31%,0.0
Carlos Prates,RECORD: 18-6-0,"6' 1""",170 lbs.,"78""",Switch,4.38,56%,5.95,37%,0.00,0%,66%,0.0
Trevin Giles,RECORD: 16-6-0,"6' 0""",170 lbs.,"74""",Orthodox,3.27,55%,2.22,58%,1.19,50%,71%,0.3
Bolaji Oki,RECORD: 9-1-0,"5' 10""",155 lbs.,"73""",Orthodox,5.18,43%,2.53,64%,0.84,100%,83%,0.0
Timmy Cuamba,RECORD: 8-2-0,"5' 9""",155 lbs.,"71""",Orthodox,2.53,34%,4.23,57%,0.50,16%,71%,0.0
Loma Lookboonmee,RECORD: 9-3-0,"5' 1""",115 lbs.,"61""",Orthodox,4.10,57%,2.48,53%,1.90,50%,72%,0.1
Bruna Brasil,RECORD: 9-4-1,"5' 6""",115 lbs.,"65""",Orthodox,2.94,62%,3.92,51%,1.59,62%,53%,0.0
Marcin Prachnio,RECORD: 17-7-0,"6' 3""",205 lbs.,"74""",Orthodox,5.61,55%,3.30,54%,0.17,20%,58%,0.0
Devin Clark,RECORD: 14-9-0,"6' 0""",205 lbs.,"75""",Orthodox,3.03,54%,3.24,44%,2.17,32%,58%,0.1
Max Griffin,RECORD: 20-10-0,"5' 11""",170 lbs.,"76""",Orthodox,3.92,49%,3.81,57%,1.45,41%,68%,0.3
Jeremiah Wells,RECORD: 12-4-1,"5' 9""",170 lbs.,"74""",Switch,2.41,43%,1.31,48%,3.08,44%,80%,0.8
Bogdan Guskov,RECORD: 15-3-0,"6' 3""",205 lbs.,"76""",Orthodox,2.43,33%,5.81,40%,0.00,0%,66%,0.0
Zac Pauga,RECORD: 7-3-0,"6' 2""",205 lbs.,"76""",Orthodox,4.46,62%,2.73,58%,0.38,7%,100%,0.0
Hyder Amil,RECORD: 9-0-0,"5' 9""",145 lbs.,"70""",Switch,4.73,54%,2.16,61%,0.68,33%,78%,2.0
Fernie Garcia,RECORD: 10-5-0,"5' 7""",135 lbs.,"67""",Orthodox,2.04,34%,3.79,48%,0.28,50%,50%,0.6
Daniel Marcos,RECORD: 15-0-0 (1 NC),"5' 7""",135 lbs.,"69""",Orthodox,5.75,50%,4.00,66%,0.33,50%,89%,0.0
Aoriqileng,RECORD: 25-10-0 (1 NC),"5' 7""",135 lbs.,"69""",Orthodox,5.31,50%,6.03,47%,1.45,46%,58%,0.0
Nassourdine Imavov,RECORD: 13-4-0 (1 NC),"6' 3""",185 lbs.,"75""",Orthodox,4.53,54%,3.26,61%,0.87,31%,76%,1.5
Roman Dolidze,RECORD: 12-3-0,"6' 2""",185 lbs.,"76""",Orthodox,2.62,39%,3.36,51%,1.30,40%,33%,1.3
Drew Dober,RECORD: 27-13-0 (1 NC),"5' 8""",155 lbs.,"70""",Southpaw,4.34,40%,4.23,51%,0.71,18%,56%,0.1
Randy Brown,RECORD: 18-5-0,"6' 3""",170 lbs.,"78""",Orthodox,4.37,46%,3.33,54%,0.78,39%,74%,0.5
Muslim Salikhov,RECORD: 19-5-0,"5' 11""",170 lbs.,"70""",Orthodox,3.36,51%,2.94,62%,1.27,40%,73%,0.0
Natalia Silva,RECORD: 17-5-1,"5' 4""",125 lbs.,"65""",Southpaw,4.53,44%,2.10,65%,0.50,28%,91%,0.0
Viviane Araujo,RECORD: 12-6-0,"5' 4""",125 lbs.,"68""",Orthodox,4.11,47%,4.96,56%,1.76,40%,78%,0.6
Aliaskhab Khizriev,RECORD: 14-0-0 (1 NC),"5' 9""",185 lbs.,"74""",Southpaw,6.01,64%,4.38,61%,5.64,60%,100%,3.8
Makhmud Muradov,RECORD: 26-8-0 (1 NC),"6' 2""",185 lbs.,"75""",Orthodox,4.21,43%,2.57,61%,3.03,66%,77%,0.2
Charles Radtke,RECORD: 9-3-0,"5' 9""",170 lbs.,"72""",Orthodox,3.29,52%,3.03,54%,0.76,16%,100%,0.0
Gilbert Urbina,RECORD: 7-4-0,"6' 3""",170 lbs.,"75""",Orthodox,5.61,57%,4.61,44%,3.01,44%,0%,0.8
Molly McCann,RECORD: 14-6-0,"5' 4""",115 lbs.,"62""",Orthodox,5.79,49%,4.94,63%,1.82,38%,43%,0.6
Diana Belbita,RECORD: 15-9-0,"5' 7""",115 lbs.,"68""",Orthodox,6.54,42%,6.55,51%,0.91,62%,65%,0.0
Charles Johnson,RECORD: 14-6-0,"5' 9""",125 lbs.,"70""",Switch,4.45,55%,3.15,59%,0.48,23%,63%,0.6
Azat Maksum,RECORD: 17-1-0,"5' 7""",125 lbs.,"70""",Southpaw,2.80,23%,5.23,55%,2.00,22%,66%,0.5
Themba Gorimbo,RECORD: 12-4-0,"6' 1""",170 lbs.,"77""",Orthodox,2.30,60%,1.67,46%,3.39,45%,66%,0.0
Pete Rodriguez,RECORD: 5-2-0,"5' 9""",170 lbs.,"71""",Switch,9.28,43%,12.83,42%,0.00,0%,100%,0.0
JeongYeong Lee,RECORD: 11-1-0,"5' 10""",145 lbs.,"73""",Orthodox,2.81,53%,1.57,59%,0.96,66%,76%,0.5
Blake Bilder,RECORD: 8-2-1,"5' 8""",145 lbs.,"68""",Switch,3.81,48%,4.15,53%,0.31,7%,71%,0.6
Luana Carolina,RECORD: 10-4-0,"5' 6""",125 lbs.,"69""",Orthodox,4.63,49%,3.63,49%,0.38,42%,76%,0.6
Julija Stoliarenko,RECORD: 11-9-2,"5' 7""",125 lbs.,"66""",Orthodox,2.49,39%,4.54,46%,0.93,27%,54%,1.7
MarQuel Mederos,RECORD: 9-1-0,"5' 10""",155 lbs.,"69""",Orthodox,4.39,45%,3.29,63%,0.00,0%,90%,0.0
Landon Quinones,RECORD: 7-3-1,"5' 9""",155 lbs.,"70""",Southpaw,6.77,40%,7.70,55%,0.50,33%,100%,0.0
Jamal Pogues,RECORD: 11-4-0,"6' 3""",205 lbs.,"77""",Orthodox,3.36,44%,4.17,50%,2.40,48%,77%,0.0
Thomas Petersen,RECORD: 8-2-0,"6' 1""",264 lbs.,"74""",Southpaw,3.79,68%,3.79,46%,2.84,44%,100%,0.7
Dricus Du Plessis,RECORD: 21-2-0,"6' 1""",185 lbs.,"76""",Switch,6.49,50%,4.77,55%,3.00,51%,40%,0.8
Sean Strickland,RECORD: 28-6-0,"6' 1""",185 lbs.,"76""",Orthodox,5.91,41%,4.33,62%,0.85,64%,77%,0.2
Raquel Pennington,RECORD: 16-9-0,"5' 7""",135 lbs.,"67""",Orthodox,4.14,52%,3.29,60%,0.90,27%,63%,0.7
Mayra Bueno Silva,RECORD: 10-3-1 (1 NC),"5' 6""",135 lbs.,"66""",Orthodox,3.84,57%,4.86,53%,0.68,38%,68%,1.6
Neil Magny,RECORD: 29-12-0,"6' 3""",170 lbs.,"80""",Orthodox,3.47,46%,2.42,52%,2.17,40%,54%,0.3
Mike Malott,RECORD: 10-2-1,"6' 1""",170 lbs.,"73""",Orthodox,3.83,46%,3.33,52%,3.04,60%,16%,1.0
Marc-Andre Barriault,RECORD: 16-7-0 (1 NC),"6' 1""",185 lbs.,"74""",Orthodox,6.19,47%,5.67,52%,0.22,25%,67%,0.1
Movsar Evloev,RECORD: 18-0-0,"5' 7""",145 lbs.,"72""",Orthodox,4.43,48%,2.89,61%,4.75,46%,71%,0.2
Arnold Allen,RECORD: 19-3-0,"5' 8""",145 lbs.,"70""",Southpaw,3.39,40%,2.91,61%,1.02,50%,75%,0.4
Garrett Armfield,RECORD: 10-3-0,"5' 6""",135 lbs.,"70""",Orthodox,6.22,53%,3.93,58%,0.00,0%,64%,0.0
Brad Katona,RECORD: 15-3-0,"5' 6""",135 lbs.,"64""",Orthodox,4.71,49%,4.98,48%,1.50,27%,52%,0.0
Sean Woodson,RECORD: 11-1-1,"6' 2""",145 lbs.,"78""",Orthodox,5.40,46%,4.00,58%,0.76,62%,84%,0.5
Charles Jourdain,RECORD: 15-7-1,"5' 9""",145 lbs.,"69""",Switch,5.56,48%,4.31,57%,0.09,10%,48%,0.6
Ramon Taveras,RECORD: 10-2-0,"5' 8""",135 lbs.,"70""",Southpaw,4.63,45%,5.41,65%,0.00,0%,100%,0.0
Serhiy Sidey,RECORD: 10-2-0,"5' 11""",135 lbs.,"72""",Switch,5.16,35%,4.19,56%,0.00,0%,0%,0.0
Gillian Robertson,RECORD: 13-8-0,"5' 5""",115 lbs.,"63""",Orthodox,2.61,46%,3.12,56%,2.53,43%,43%,1.0
Polyana Viana,RECORD: 13-7-0,"5' 5""",115 lbs.,"67""",Orthodox,2.99,40%,2.65,53%,0.82,33%,38%,1.9
Sam Patterson,RECORD: 11-2-1,"6' 3""",155 lbs.,"78""",Orthodox,2.54,38%,3.41,49%,1.19,100%,33%,3.6
Yohan Lainesse,RECORD: 9-3-0,"6' 1""",170 lbs.,"76""",Orthodox,2.22,41%,3.38,58%,0.94,28%,72%,0.5
Jasmine Jasudavicius,RECORD: 10-3-0,"5' 7""",125 lbs.,"68""",Orthodox,3.95,45%,4.03,51%,2.16,37%,80%,0.4
Priscila Cachoeira,RECORD: 12-6-0,"5' 7""",125 lbs.,"65""",Orthodox,3.76,44%,7.03,43%,0.15,33%,65%,0.0
Jimmy Flick,RECORD: 17-7-0,"5' 7""",125 lbs.,"68""",Orthodox,1.70,50%,5.20,40%,1.79,26%,0%,5.4
Malcolm Gordon,RECORD: 14-8-0,"5' 7""",125 lbs.,"71""",Switch,2.50,45%,2.00,43%,1.72,35%,26%,1.0
Magomed Ankalaev,RECORD: 19-1-1 (1 NC),"6' 3""",205 lbs.,"75""",Orthodox,3.64,53%,2.25,59%,1.02,31%,86%,0.0
Johnny Walker,RECORD: 21-8-0 (1 NC),"6' 6""",205 lbs.,"82""",Orthodox,3.81,53%,2.83,44%,0.46,100%,57%,0.9
Gabriel Benitez,RECORD: 23-12-0,"5' 8""",155 lbs.,"71""",Southpaw,4.92,41%,4.26,62%,0.24,50%,55%,1.0
Mario Bautista,RECORD: 14-2-0,"5' 9""",135 lbs.,"69""",Switch,5.69,48%,3.99,53%,2.25,44%,66%,1.0
Ricky Simon,RECORD: 20-5-0,"5' 6""",135 lbs.,"69""",Orthodox,3.01,43%,3.61,61%,5.49,46%,76%,0.4
Brunno Ferreira,RECORD: 11-1-0,"5' 10""",185 lbs.,"72""",Orthodox,5.00,50%,4.17,48%,1.25,16%,66%,0.0
Phil Hawes,RECORD: 12-6-0,"6' 0""",185 lbs.,"77""",Orthodox,5.33,59%,3.72,55%,2.11,34%,90%,0.2
Waldo Cortes-Acosta,RECORD: 11-1-0,"6' 4""",260 lbs.,"78""",Orthodox,6.13,47%,4.02,52%,0.00,0%,60%,0.0
Andrei Arlovski,RECORD: 34-23-0 (2 NC),"6' 3""",240 lbs.,"77""",Orthodox,3.78,45%,3.20,57%,0.38,36%,76%,0.2
Preston Parsons,RECORD: 11-4-0,"5' 11""",170 lbs.,"71""",Orthodox,3.83,55%,3.18,51%,4.30,43%,80%,3.1
Matthew Semelsberger,RECORD: 11-7-0,"6' 1""",170 lbs.,"75""",Switch,3.78,43%,4.21,54%,1.02,57%,45%,0.4
Marcus McGhee,RECORD: 9-1-0,"5' 8""",135 lbs.,"69""",Orthodox,5.43,51%,2.52,71%,0.84,33%,100%,0.8
Gaston Bolanos,RECORD: 7-4-0,"5' 7""",135 lbs.,"69""",Orthodox,3.88,43%,3.49,49%,0.00,0%,50%,0.0
Farid Basharat,RECORD: 12-0-0,"5' 8""",135 lbs.,"71""",Orthodox,4.47,58%,2.44,57%,3.96,41%,83%,0.6
Taylor Lapilus,RECORD: 19-4-0,"5' 6""",135 lbs.,"73""",Southpaw,3.91,46%,2.37,61%,0.37,40%,77%,0.4
Jean Silva,RECORD: 12-2-0,"5' 7""",145 lbs.,"69""",Orthodox,5.83,52%,4.27,57%,1.56,50%,100%,0.0
Westin Wilson,RECORD: 16-9-0,"6' 1""",145 lbs.,"73""",Southpaw,2.11,34%,6.62,28%,0.00,0%,0%,4.2
Nikolas Motta,RECORD: 14-5-0 (1 NC),"5' 9""",155 lbs.,"70""",Orthodox,3.08,33%,4.78,51%,0.00,0%,82%,0.0
Tom Nolan,RECORD: 6-1-0,"6' 3""",155 lbs.,"73""",Southpaw,10.27,56%,9.45,47%,0.00,0%,0%,0.0
Joshua Van,RECORD: 10-1-0,"5' 5""",125 lbs.,"65""",Orthodox,9.08,53%,5.77,60%,1.14,42%,78%,0.0
Felipe Bunes,RECORD: 13-7-0,"5' 7""",125 lbs.,"69""",Orthodox,5.25,54%,8.72,41%,3.15,33%,0%,0.0
Leon Edwards,RECORD: 22-3-0 (1 NC),"6' 2""",170 lbs.,"74""",Southpaw,2.75,53%,2.34,54%,1.25,34%,70%,0.4
Colby Covington,RECORD: 17-4-0,"5' 11""",170 lbs.,"72""",Orthodox,3.88,38%,2.98,55%,3.79,44%,67%,0.2
Alexandre Pantoja,RECORD: 27-5-0,"5' 5""",125 lbs.,"67""",Orthodox,4.32,49%,3.90,50%,2.20,48%,67%,1.0
Shavkat Rakhmonov,RECORD: 18-0-0,"6' 1""",170 lbs.,"77""",Orthodox,4.12,61%,2.41,51%,1.49,29%,100%,1.8
Stephen Thompson,RECORD: 17-7-1,"6' 0""",170 lbs.,"75""",Orthodox,4.11,46%,3.03,54%,0.26,41%,65%,0.0
Paddy Pimblett,RECORD: 21-3-0,"5' 10""",155 lbs.,"73""",Orthodox,5.13,52%,3.70,41%,0.98,25%,56%,1.6
Tony Ferguson,RECORD: 26-10-0,"5' 11""",155 lbs.,"76""",Orthodox,4.94,45%,4.41,55%,0.39,35%,67%,0.9
Josh Emmett,RECORD: 19-4-0,"5' 6""",145 lbs.,"70""",Orthodox,4.04,36%,4.61,61%,0.91,37%,46%,0.1
Bryce Mitchell,RECORD: 16-3-0,"5' 10""",145 lbs.,"70""",Southpaw,2.30,58%,1.63,58%,3.45,41%,33%,1.6
Alonzo Menifield,RECORD: 15-3-1,"6' 0""",205 lbs.,"76""",Orthodox,3.92,57%,3.51,49%,0.67,33%,75%,0.3
Dustin Jacoby,RECORD: 19-8-1,"6' 3""",205 lbs.,"76""",Orthodox,5.53,47%,4.07,57%,0.36,25%,60%,0.0
Irene Aldana,RECORD: 15-7-0,"5' 9""",135 lbs.,"68""",Orthodox,5.24,40%,6.33,57%,0.16,50%,76%,0.2
Karol Rosa,RECORD: 17-6-0,"5' 5""",135 lbs.,"67""",Orthodox,6.34,56%,4.78,49%,1.22,45%,68%,0.0
Brian Kelleher,RECORD: 24-15-0,"5' 6""",135 lbs.,"66""",Switch,3.39,41%,4.64,54%,1.74,41%,60%,0.7
Ariane da Silva,RECORD: 17-8-0,"5' 6""",125 lbs.,"67""",Orthodox,4.27,40%,4.23,52%,0.64,55%,79%,0.4
Casey O'Neill,RECORD: 9-2-0,"5' 6""",125 lbs.,"69""",Orthodox,8.41,54%,6.30,56%,1.77,38%,66%,0.7
Tagir Ulanbekov,RECORD: 15-2-0,"5' 7""",125 lbs.,"70""",Southpaw,3.22,45%,3.30,51%,3.71,46%,61%,2.1
Cody Durden,RECORD: 16-5-1,"5' 7""",125 lbs.,"67""",Southpaw,3.16,51%,2.89,51%,4.84,50%,66%,0.3
Lucas Almeida,RECORD: 14-3-0,"5' 11""",145 lbs.,"71""",Orthodox,5.05,47%,5.32,45%,0.00,0%,40%,0.0
Martin Buday,RECORD: 13-2-0,"6' 4""",265 lbs.,"77""",Orthodox,5.17,52%,5.70,54%,0.26,25%,100%,0.3
Chris Gutierrez,RECORD: 20-6-2,"5' 9""",135 lbs.,"67""",Orthodox,4.80,58%,2.79,63%,0.28,30%,69%,0.1
Khalil Rountree Jr.,RECORD: 14-5-0 (1 NC),"6' 1""",205 lbs.,"76""",Southpaw,3.84,39%,4.18,50%,0.00,0%,58%,0.1
Anthony Smith,RECORD: 37-19-0,"6' 4""",205 lbs.,"76""",Orthodox,3.21,48%,4.47,46%,0.49,26%,48%,0.6
Nasrat Haqparast,RECORD: 16-5-0,"5' 10""",155 lbs.,"72""",Southpaw,5.78,44%,5.25,64%,0.31,20%,78%,0.0
Jamie Mullarkey,RECORD: 17-7-0,"6' 0""",155 lbs.,"74""",Orthodox,4.46,46%,4.49,54%,2.42,34%,76%,0.1
Tim Elliott,RECORD: 21-13-1,"5' 7""",125 lbs.,"66""",Southpaw,3.39,44%,2.66,56%,3.73,47%,59%,1.0
Sumudaerji,RECORD: 16-6-0,"5' 8""",125 lbs.,"72""",Southpaw,4.64,54%,2.73,61%,0.29,100%,66%,0.6
Andre Muniz,RECORD: 24-6-0,"6' 1""",185 lbs.,"78""",Southpaw,1.97,50%,1.99,54%,4.23,50%,35%,1.2
JunYong Park,RECORD: 17-6-0,"5' 10""",185 lbs.,"73""",Orthodox,4.53,50%,3.30,53%,1.83,50%,57%,1.1
Kevin Jousset,RECORD: 10-2-0,"6' 2""",170 lbs.,"75""",Orthodox,8.23,55%,5.10,53%,1.51,66%,100%,0.8
Song Kenan,RECORD: 20-8-0,"6' 0""",170 lbs.,"71""",Orthodox,4.36,46%,6.38,50%,0.34,50%,61%,0.0
HyunSung Park,RECORD: 9-0-0,"5' 7""",125 lbs.,"66""",Orthodox,4.15,44%,3.43,59%,1.54,27%,100%,2.6
Shannon Ross,RECORD: 13-9-0,"5' 6""",125 lbs.,"66""",Switch,5.96,39%,7.39,55%,0.00,0%,100%,0.0
Steve Garcia,RECORD: 15-5-0,"6' 0""",155 lbs.,"75""",Southpaw,4.85,56%,2.40,46%,1.31,44%,88%,0.7
Melquizael Costa,RECORD: 20-7-0,"5' 10""",155 lbs.,"71""",Southpaw,4.29,46%,2.99,59%,2.49,27%,42%,0.5
Luana Santos,RECORD: 7-1-0,"5' 6""",135 lbs.,"67""",Orthodox,6.21,55%,3.64,64%,1.61,50%,66%,0.0
Stephanie Egger,RECORD: 8-5-0,"5' 6""",135 lbs.,"68""",Orthodox,2.20,46%,2.48,52%,2.48,42%,50%,0.6
Tatsuro Taira,RECORD: 15-0-0,"5' 7""",125 lbs.,"70""",Orthodox,3.51,71%,1.15,47%,2.12,41%,71%,2.4
Carlos Hernandez,RECORD: 9-3-0,"5' 8""",125 lbs.,"67""",Orthodox,4.95,46%,4.54,46%,1.11,15%,65%,0.3
Talita Alencar,RECORD: 5-0-1,"5' 1""",115 lbs.,"58""",Orthodox,2.37,28%,4.80,48%,2.50,15%,50%,0.0
Rayanne dos Santos,RECORD: 14-7-0,"5' 2""",115 lbs.,"62""",Orthodox,3.73,36%,4.63,65%,0.50,20%,88%,0.0
Beneil Dariush,RECORD: 22-6-1,"5' 10""",155 lbs.,"72""",Southpaw,3.78,48%,2.65,57%,1.90,34%,80%,0.9
Rob Font,RECORD: 20-8-0,"5' 8""",135 lbs.,"71""",Orthodox,5.53,45%,3.65,56%,0.89,35%,46%,0.3
Sean Brady,RECORD: 16-1-0,"5' 10""",170 lbs.,"72""",Orthodox,3.77,53%,3.55,61%,3.29,57%,87%,1.2
Kelvin Gastelum,RECORD: 18-9-0 (1 NC),"5' 9""",170 lbs.,"71""",Southpaw,3.55,41%,3.23,58%,0.96,30%,59%,0.1
Joaquim Silva,RECORD: 13-5-0,"5' 8""",155 lbs.,"69""",Southpaw,3.61,41%,4.51,54%,0.45,60%,64%,0.7
Clay Guida,RECORD: 38-21-0,"5' 7""",155 lbs.,"70""",Orthodox,2.64,33%,3.01,61%,3.13,36%,67%,0.6
Dustin Stoltzfus,RECORD: 15-5-0,"6' 0""",185 lbs.,"75""",Orthodox,3.49,44%,3.29,48%,2.40,40%,46%,0.7
Punahele Soriano,RECORD: 9-4-0,"5' 11""",170 lbs.,"72""",Southpaw,3.96,45%,4.55,48%,0.79,40%,33%,0.0
