,Win/Loss,Fighters,KD,Str,Td,Sub,Weight Class,Method,Round,Time,Event Name,Date,Location,Opponent,Record,Height,Weight,Reach,Stance,SLpM,Str. Acc,SApM,Str. Def,TD Avg,TD Acc,TD Def,Sub. Avg,Year
61,LOSS,Rhys McKee,0,30,0,0,Welterweight,S-DEC,3,5:00,UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,"Atlantic City, New Jersey, USA",Chidi Njokuani,RECORD: 13-6-1,"6' 2""",170 lbs.,"78""",Orthodox,4.8,0.45,7.85,42%,0.0,0%,41%,0.0,2024
62,WIN,Nate Landwehr,1,37,0,0,Featherweight,"KO/TKO, Punches",1,4:43,UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,"Atlantic City, New Jersey, USA",Jamall Emmers,RECORD: 18-5-0,"5' 9""",145 lbs.,"72""",Orthodox,6.25,0.46,5.75,55%,1.0,41%,86%,1.0,2024
63,LOSS,Jamall Emmers,0,39,0,0,Featherweight,"KO/TKO, Punches",1,4:43,UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,"Atlantic City, New Jersey, USA",Nate Landwehr,RECORD: 20-8-0,"5' 10""",145 lbs.,"74""",Orthodox,5.3,0.48,4.05,57%,1.83,40%,90%,0.2,2024
64,WIN,Virna Jandiroba,0,30,2,3,Women's,U-DEC,3,5:00,UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,"Atlantic City, New Jersey, USA",Loopy Godinez,RECORD: 20-3-0,"5' 3""",115 lbs.,"64""",Orthodox,2.3,0.38,2.96,57%,2.36,36%,73%,1.2,2024
65,LOSS,Loopy Godinez,0,38,0,0,Women's,U-DEC,3,5:00,UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,"Atlantic City, New Jersey, USA",Virna Jandiroba,RECORD: 12-4-0,"5' 2""",115 lbs.,"61""",Orthodox,4.13,0.48,3.58,63%,3.04,46%,84%,1.0,2024
66,WIN,Julio Arce,2,29,0,0,Featherweight,"KO/TKO, Punches",2,2:00,UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,"Atlantic City, New Jersey, USA",Herbert Burns,RECORD: 19-6-0,"5' 7""",145 lbs.,"70""",Southpaw,4.36,0.36,3.05,68%,0.46,28%,96%,0.3,2024
67,LOSS,Herbert Burns,0,15,0,0,Featherweight,"KO/TKO, Punches",2,2:00,UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,"Atlantic City, New Jersey, USA",Julio Arce,RECORD: 11-5-0,"5' 9""",145 lbs.,"73""",Orthodox,1.73,0.4,4.6,41%,3.0,42%,66%,2.5,2024
68,WIN,Dennis Buzukja,1,83,0,0,Featherweight,"KO/TKO, Punches",3,0:22,UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,"Atlantic City, New Jersey, USA",Connor Matthews,RECORD: 12-4-0,"5' 9""",145 lbs.,"70""",Switch,4.16,0.42,5.09,45%,0.8,30%,72%,0.3,2024
69,LOSS,Connor Matthews,0,60,1,0,Featherweight,"KO/TKO, Punches",3,0:22,UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,"Atlantic City, New Jersey, USA",Dennis Buzukja,RECORD: 7-2-0,"5' 8""",145 lbs.,"71""",Switch,5.3,0.44,6.19,56%,2.97,53%,50%,0.7,2024
70,WIN,Ibo Aslan,1,74,0,0,Light Heavyweight,"KO/TKO, Punches",3,1:32,UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,"Atlantic City, New Jersey, USA",Anton Turkalj,RECORD: 13-1-0,"6' 3""",205 lbs.,"77""",Orthodox,6.83,0.45,4.53,64%,0.0,0%,100%,0.0,2024
