Win/Loss,Fighters,KD,Str,Td,Sub,Weight Class,Method,Round,Time,Event Name,Date,Location
WIN,"Ihor Potieria, Robert Bryczek","1, 0","67, 32","0, 0","0, 0",Middleweight,U-DEC,3,5:00,UFC Fight Night: Hermansson vs. Pyfer,"DATE: February 10, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Gregory Rodrigues, Brad Tavares","0, 0","71, 37","2, 0","0, 0",Middleweight,"KO/TKO, Punches",3,0:55,UFC Fight Night: Hermansson vs. Pyfer,"DATE: February 10, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Michael Johnson, Darrius Flowers","0, 0","61, 33","4, 0","0, 0",Lightweight,U-DEC,3,5:00,UFC Fight Night: Hermansson vs. Pyfer,"DATE: February 10, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Rodolfo Vieira, Armen Petrosyan","0, 0","6, 9","3, 0","1, 0",Middleweight,"SUB, Arm Triangle",1,4:48,UFC Fight Night: Hermansson vs. Pyfer,"DATE: February 10, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Carlos Prates, Trevin Giles","1, 0","37, 68","0, 0","0, 0",Welterweight,"KO/TKO, Punch",2,4:03,UFC Fight Night: Hermansson vs. Pyfer,"DATE: February 10, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Bolaji Oki, Timmy Cuamba","0, 0","60, 33","1, 1","0, 0",Lightweight,S-DEC,3,5:00,UFC Fight Night: Hermansson vs. Pyfer,"DATE: February 10, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Loma Lookboonmee, Bruna Brasil","0, 0","58, 28","1, 1","0, 0",Women's,U-DEC,3,5:00,UFC Fight Night: Hermansson vs. Pyfer,"DATE: February 10, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Marcin Prachnio, Devin Clark","0, 0","101, 53","1, 0","0, 0",Light,U-DEC,3,5:00,UFC Fight Night: Hermansson vs. Pyfer,"DATE: February 10, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Max Griffin, Jeremiah Wells","0, 0","26, 32","1, 1","0, 0",Welterweight,S-DEC,3,5:00,UFC Fight Night: Hermansson vs. Pyfer,"DATE: February 10, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Bogdan Guskov, Zac Pauga","1, 0","10, 17","0, 0","0, 0",Light,"KO/TKO, Punches",1,3:38,UFC Fight Night: Hermansson vs. Pyfer,"DATE: February 10, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Hyder Amil, Fernie Garcia","1, 0","79, 26","1, 0","2, 0",Featherweight,"KO/TKO, Punches",2,2:12,UFC Fight Night: Hermansson vs. Pyfer,"DATE: February 10, 2024","LOCATION: Las Vegas, Nevada, USA"
"NC, NC","Daniel Marcos, Aoriqileng","0, 0","81, 45","0, 0","0, 0",Bantamweight,CNC,2,3:28,UFC Fight Night: Hermansson vs. Pyfer,"DATE: February 10, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Nassourdine Imavov, Roman Dolidze","1, 0","112, 34","0, 0","1, 0",Middleweight,M-DEC,5,5:00,UFC Fight Night: Dolidze vs. Imavov,"DATE: February 03, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Renato Moicano, Drew Dober","0, 0","23, 23","3, 1","0, 0",Lightweight,U-DEC,3,5:00,UFC Fight Night: Dolidze vs. Imavov,"DATE: February 03, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Randy Brown, Muslim Salikhov","1, 0","13, 10","0, 0","0, 0",Welterweight,"KO/TKO, Punch",1,3:17,UFC Fight Night: Dolidze vs. Imavov,"DATE: February 03, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Natalia Silva, Viviane Araujo","0, 0","38, 26","0, 1","0, 0",Women's,U-DEC,3,5:00,UFC Fight Night: Dolidze vs. Imavov,"DATE: February 03, 2024","LOCATION: Las Vegas, Nevada, USA"
"NC, NC","Aliaskhab Khizriev, Makhmud Muradov","0, 0","1, 1","0, 0","0, 0",Middleweight,CNC,1,0:11,UFC Fight Night: Dolidze vs. Imavov,"DATE: February 03, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Charles Radtke, Gilbert Urbina","2, 0","30, 16","0, 0","0, 0",Welterweight,"KO/TKO, Punch",1,4:47,UFC Fight Night: Dolidze vs. Imavov,"DATE: February 03, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Molly McCann, Diana Belbita","0, 0","42, 29","2, 0","1, 0",Women's,"SUB, Armbar",1,4:59,UFC Fight Night: Dolidze vs. Imavov,"DATE: February 03, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Charles Johnson, Azat Maksum","0, 1","76, 38","2, 2","3, 1",Flyweight,U-DEC,3,5:00,UFC Fight Night: Dolidze vs. Imavov,"DATE: February 03, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Themba Gorimbo, Pete Rodriguez","1, 0","12, 0","0, 0","0, 0",Welterweight,"KO/TKO, Punch",1,0:32,UFC Fight Night: Dolidze vs. Imavov,"DATE: February 03, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"JeongYeong Lee, Blake Bilder","0, 0","49, 19","2, 0","0, 0",Featherweight,U-DEC,3,5:00,UFC Fight Night: Dolidze vs. Imavov,"DATE: February 03, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Luana Carolina, Julija Stoliarenko","0, 0","66, 16","2, 1","0, 3",Women's,"KO/TKO, Punches",3,4:52,UFC Fight Night: Dolidze vs. Imavov,"DATE: February 03, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"MarQuel Mederos, Landon Quinones","0, 0","60, 55","0, 1","0, 0",Lightweight,U-DEC,3,5:00,UFC Fight Night: Dolidze vs. Imavov,"DATE: February 03, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Jamal Pogues, Thomas Petersen","0, 0","65, 58","0, 1","0, 0",Heavyweight,U-DEC,3,5:00,UFC Fight Night: Dolidze vs. Imavov,"DATE: February 03, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Dricus Du Plessis, Sean Strickland","0, 0","137, 173","6, 0","0, 0",Middleweight,S-DEC,5,5:00,UFC 297: Strickland vs. Du Plessis,"DATE: January 20, 2024","LOCATION: Toronto, Ontario, Canada"
WIN,"Raquel Pennington, Mayra Bueno Silva","0, 0","134, 69","1, 3","2, 3",Women's,U-DEC,5,5:00,UFC 297: Strickland vs. Du Plessis,"DATE: January 20, 2024","LOCATION: Toronto, Ontario, Canada"
WIN,"Neil Magny, Mike Malott","0, 0","57, 45","1, 4","0, 0",Welterweight,"KO/TKO, Punches",3,4:45,UFC 297: Strickland vs. Du Plessis,"DATE: January 20, 2024","LOCATION: Toronto, Ontario, Canada"
WIN,"Chris Curtis, Marc-Andre Barriault","0, 0","140, 122","0, 0","0, 0",Middleweight,S-DEC,3,5:00,UFC 297: Strickland vs. Du Plessis,"DATE: January 20, 2024","LOCATION: Toronto, Ontario, Canada"
WIN,"Movsar Evloev, Arnold Allen","0, 0","51, 59","5, 0","0, 1",Featherweight,U-DEC,3,5:00,UFC 297: Strickland vs. Du Plessis,"DATE: January 20, 2024","LOCATION: Toronto, Ontario, Canada"
WIN,"Garrett Armfield, Brad Katona","0, 0","105, 64","0, 4","0, 0",Bantamweight,U-DEC,3,5:00,UFC 297: Strickland vs. Du Plessis,"DATE: January 20, 2024","LOCATION: Toronto, Ontario, Canada"
WIN,"Sean Woodson, Charles Jourdain","0, 0","80, 60","1, 0","0, 1",Featherweight,S-DEC,3,5:00,UFC 297: Strickland vs. Du Plessis,"DATE: January 20, 2024","LOCATION: Toronto, Ontario, Canada"
WIN,"Ramon Taveras, Serhiy Sidey","1, 0","62, 79","0, 0","0, 0",Bantamweight,S-DEC,3,5:00,UFC 297: Strickland vs. Du Plessis,"DATE: January 20, 2024","LOCATION: Toronto, Ontario, Canada"
WIN,"Gillian Robertson, Polyana Viana","0, 0","23, 12","2, 0","1, 0",Women's,"KO/TKO, Punches",2,3:12,UFC 297: Strickland vs. Du Plessis,"DATE: January 20, 2024","LOCATION: Toronto, Ontario, Canada"
WIN,"Sam Patterson, Yohan Lainesse","0, 0","5, 1","1, 0","1, 0",Welterweight,"SUB, Rear Naked Choke",1,2:03,UFC 297: Strickland vs. Du Plessis,"DATE: January 20, 2024","LOCATION: Toronto, Ontario, Canada"
WIN,"Jasmine Jasudavicius, Priscila Cachoeira","1, 0","93, 24","2, 0","3, 0",Women's,"SUB, Anaconda Choke",3,4:21,UFC 297: Strickland vs. Du Plessis,"DATE: January 20, 2024","LOCATION: Toronto, Ontario, Canada"
WIN,"Jimmy Flick, Malcolm Gordon","0, 0","3, 37","1, 1","4, 1",Flyweight,"SUB, Arm Triangle",2,1:17,UFC 297: Strickland vs. Du Plessis,"DATE: January 20, 2024","LOCATION: Toronto, Ontario, Canada"
WIN,"Magomed Ankalaev, Johnny Walker","1, 0","39, 24","0, 0","0, 0",Light,"KO/TKO, Punch",2,2:42,UFC Fight Night: Ankalaev vs. Walker 2,"DATE: January 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Jim Miller, Gabriel Benitez","0, 0","80, 80","2, 0","1, 0",Lightweight,"SUB, Neck Crank",3,3:25,UFC Fight Night: Ankalaev vs. Walker 2,"DATE: January 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Mario Bautista, Ricky Simon","0, 0","112, 45","0, 2","0, 0",Bantamweight,U-DEC,3,5:00,UFC Fight Night: Ankalaev vs. Walker 2,"DATE: January 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Brunno Ferreira, Phil Hawes","1, 0","19, 13","1, 0","0, 0",Middleweight,"KO/TKO, Punch",1,4:55,UFC Fight Night: Ankalaev vs. Walker 2,"DATE: January 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Waldo Cortes-Acosta, Andrei Arlovski","0, 0","49, 58","0, 0","0, 0",Heavyweight,U-DEC,3,5:00,UFC Fight Night: Ankalaev vs. Walker 2,"DATE: January 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Preston Parsons, Matthew Semelsberger","0, 0","47, 28","7, 1","2, 2",Welterweight,U-DEC,3,5:00,UFC Fight Night: Ankalaev vs. Walker 2,"DATE: January 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Marcus McGhee, Gaston Bolanos","1, 0","65, 28","1, 0","0, 0",Bantamweight,"KO/TKO, Punches",2,3:29,UFC Fight Night: Ankalaev vs. Walker 2,"DATE: January 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Farid Basharat, Taylor Lapilus","0, 0","42, 40","5, 0","1, 0",Bantamweight,U-DEC,3,5:00,UFC Fight Night: Ankalaev vs. Walker 2,"DATE: January 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Jean Silva, Westin Wilson","1, 0","25, 11","1, 0","0, 0",Featherweight,"KO/TKO, Punch",1,4:12,UFC Fight Night: Ankalaev vs. Walker 2,"DATE: January 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Nikolas Motta, Tom Nolan","1, 0","21, 12","0, 0","0, 0",Lightweight,"KO/TKO, Punches",1,1:03,UFC Fight Night: Ankalaev vs. Walker 2,"DATE: January 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Joshua Van, Felipe Bunes","1, 0","83, 50","1, 2","0, 0",Flyweight,"KO/TKO, Punches",2,4:31,UFC Fight Night: Ankalaev vs. Walker 2,"DATE: January 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Leon Edwards, Colby Covington","0, 0","57, 44","2, 2","2, 0",Welterweight,U-DEC,5,5:00,UFC 296: Edwards vs. Covington,"DATE: December 16, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Alexandre Pantoja, Brandon Royval","0, 0","95, 111","8, 0","1, 0",Flyweight,U-DEC,5,5:00,UFC 296: Edwards vs. Covington,"DATE: December 16, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Shavkat Rakhmonov, Stephen Thompson","0, 0","28, 16","1, 0","2, 0",Welterweight,"SUB, Rear Naked Choke",2,4:56,UFC 296: Edwards vs. Covington,"DATE: December 16, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Paddy Pimblett, Tony Ferguson","1, 0","106, 62","1, 0","0, 0",Lightweight,U-DEC,3,5:00,UFC 296: Edwards vs. Covington,"DATE: December 16, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Josh Emmett, Bryce Mitchell","1, 0","2, 0","0, 0","0, 0",Featherweight,"KO/TKO, Punch",1,1:57,UFC 296: Edwards vs. Covington,"DATE: December 16, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Alonzo Menifield, Dustin Jacoby","1, 0","68, 93","1, 0","0, 0",Light,U-DEC,3,5:00,UFC 296: Edwards vs. Covington,"DATE: December 16, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Irene Aldana, Karol Rosa","0, 0","145, 204","0, 0","0, 0",Women's,U-DEC,3,5:00,UFC 296: Edwards vs. Covington,"DATE: December 16, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Cody Garbrandt, Brian Kelleher","1, 0","20, 17","0, 0","0, 0",Bantamweight,"KO/TKO, Punch",1,3:42,UFC 296: Edwards vs. Covington,"DATE: December 16, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Ariane Lipski, Casey O'Neill","0, 0","64, 31","1, 0","1, 0",Women's,"SUB, Armbar",2,1:18,UFC 296: Edwards vs. Covington,"DATE: December 16, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Tagir Ulanbekov, Cody Durden","1, 0","24, 32","2, 0","5, 0",Flyweight,"SUB, Rear Naked Choke",2,4:25,UFC 296: Edwards vs. Covington,"DATE: December 16, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Andre Fili, Lucas Almeida","1, 0","20, 10","0, 0","0, 0",Featherweight,"KO/TKO, Punch",1,3:32,UFC 296: Edwards vs. Covington,"DATE: December 16, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Shamil Gaziev, Martin Buday","0, 0","49, 8","0, 0","0, 0",Heavyweight,"KO/TKO, Punches",2,0:56,UFC 296: Edwards vs. Covington,"DATE: December 16, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Song Yadong, Chris Gutierrez","0, 0","77, 87","2, 0","0, 0",Bantamweight,U-DEC,5,5:00,UFC Fight Night: Song vs. Gutierrez,"DATE: December 09, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Khalil Rountree Jr., Anthony Smith","1, 0","53, 47","0, 0","0, 0",Light,"KO/TKO, Punch",3,0:56,UFC Fight Night: Song vs. Gutierrez,"DATE: December 09, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Nasrat Haqparast, Jamie Mullarkey","2, 0","16, 8","0, 0","0, 0",Lightweight,"KO/TKO, Punches",1,1:44,UFC Fight Night: Song vs. Gutierrez,"DATE: December 09, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Tim Elliott, Sumudaerji","0, 0","10, 10","1, 0","1, 0",Bantamweight,"SUB, Arm Triangle",1,4:02,UFC Fight Night: Song vs. Gutierrez,"DATE: December 09, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Andre Muniz, JunYong Park","0, 0","14, 27","11, 0","0, 0",Middleweight,S-DEC,3,5:00,UFC Fight Night: Song vs. Gutierrez,"DATE: December 09, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Kevin Jousset, Song Kenan","0, 0","134, 62","1, 0","0, 0",Welterweight,U-DEC,3,5:00,UFC Fight Night: Song vs. Gutierrez,"DATE: December 09, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"HyunSung Park, Shannon Ross","2, 0","50, 47","0, 0","0, 0",Flyweight,"KO/TKO, Punch",2,3:59,UFC Fight Night: Song vs. Gutierrez,"DATE: December 09, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Steve Garcia, Melquizael Costa","1, 0","29, 6","0, 2","1, 0",Lightweight,"KO/TKO, Elbows",2,1:01,UFC Fight Night: Song vs. Gutierrez,"DATE: December 09, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Luana Santos, Stephanie Egger","0, 0","53, 44","2, 1","0, 0",Women's,U-DEC,3,5:00,UFC Fight Night: Song vs. Gutierrez,"DATE: December 09, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Tatsuro Taira, Carlos Hernandez","1, 0","33, 2","0, 0","0, 0",Flyweight,"KO/TKO, Punches",2,0:55,UFC Fight Night: Song vs. Gutierrez,"DATE: December 09, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Talita Alencar, Rayanne Amanda","0, 0","36, 57","1, 0","0, 0",Women's,S-DEC,3,5:00,UFC Fight Night: Song vs. Gutierrez,"DATE: December 09, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Arman Tsarukyan, Beneil Dariush","1, 0","8, 2","0, 0","0, 0",Lightweight,"KO/TKO, Punch",1,1:04,UFC Fight Night: Dariush vs. Tsarukyan,"DATE: December 02, 2023","LOCATION: Austin, Texas, USA"
WIN,"Jalin Turner, Bobby Green","1, 0","33, 15","0, 0","0, 0",Lightweight,"KO/TKO, Punches",1,2:49,UFC Fight Night: Dariush vs. Tsarukyan,"DATE: December 02, 2023","LOCATION: Austin, Texas, USA"
WIN,"Deiveson Figueiredo, Rob Font","0, 0","45, 46","4, 0","0, 0",Bantamweight,U-DEC,3,5:00,UFC Fight Night: Dariush vs. Tsarukyan,"DATE: December 02, 2023","LOCATION: Austin, Texas, USA"
WIN,"Sean Brady, Kelvin Gastelum","0, 0","14, 18","5, 0","3, 0",Welterweight,"SUB, Kimura",3,1:43,UFC Fight Night: Dariush vs. Tsarukyan,"DATE: December 02, 2023","LOCATION: Austin, Texas, USA"
WIN,"Joaquim Silva, Clay Guida","0, 0","46, 43","2, 2","2, 0",Lightweight,U-DEC,3,5:00,UFC Fight Night: Dariush vs. Tsarukyan,"DATE: December 02, 2023","LOCATION: Austin, Texas, USA"
WIN,"Dustin Stoltzfus, Punahele Soriano","1, 0","64, 31","4, 0","1, 0",Middleweight,"SUB, Rear Naked Choke",2,4:10,UFC Fight Night: Dariush vs. Tsarukyan,"DATE: December 02, 2023","LOCATION: Austin, Texas, USA"
WIN,"Miesha Tate, Julia Avila","0, 0","32, 3","4, 0","1, 0",Women's,"SUB, Rear Naked Choke",3,1:15,UFC Fight Night: Dariush vs. Tsarukyan,"DATE: December 02, 2023","LOCATION: Austin, Texas, USA"
WIN,"Cody Brundage, Zach Reese","0, 0","9, 4","1, 0","0, 1",Middleweight,"KO/TKO, Slam",1,1:49,UFC Fight Night: Dariush vs. Tsarukyan,"DATE: December 02, 2023","LOCATION: Austin, Texas, USA"
WIN,"Drakkar Klose, Joe Solecki","0, 0","2, 1","0, 1","0, 0",Lightweight,"KO/TKO, Slam",1,1:41,UFC Fight Night: Dariush vs. Tsarukyan,"DATE: December 02, 2023","LOCATION: Austin, Texas, USA"
WIN,"Rodolfo Bellato, Ihor Potieria","0, 1","80, 73","1, 0","0, 0",Light,"KO/TKO, Punches",2,4:17,UFC Fight Night: Dariush vs. Tsarukyan,"DATE: December 02, 2023","LOCATION: Austin, Texas, USA"
WIN,"Jared Gooden, Wellington Turman","0, 0","53, 37","1, 1","1, 0",Welterweight,"SUB, Rear Naked Choke",2,1:11,UFC Fight Night: Dariush vs. Tsarukyan,"DATE: December 02, 2023","LOCATION: Austin, Texas, USA"
WIN,"Veronica Hardy, Jamey-Lyn Horth","0, 0","43, 43","1, 1","0, 0",Women's,S-DEC,3,5:00,UFC Fight Night: Dariush vs. Tsarukyan,"DATE: December 02, 2023","LOCATION: Austin, Texas, USA"
WIN,"Brendan Allen, Paul Craig","0, 0","32, 6","2, 0","2, 1",Middleweight,"SUB, Rear Naked Choke",3,0:38,UFC Fight Night: Allen vs. Craig,"DATE: November 18, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Michael Morales, Jake Matthews","0, 0","84, 57","0, 0","0, 0",Welterweight,U-DEC,3,5:00,UFC Fight Night: Allen vs. Craig,"DATE: November 18, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Chase Hooper, Jordan Leavitt","0, 0","1, 3","0, 0","1, 0",Lightweight,"SUB, Rear Naked Choke",1,2:58,UFC Fight Night: Allen vs. Craig,"DATE: November 18, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Payton Talbott, Nick Aguirre","0, 0","28, 5","0, 2","1, 0",Bantamweight,"SUB, Rear Naked Choke",3,0:58,UFC Fight Night: Allen vs. Craig,"DATE: November 18, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Amanda Ribas, Luana Pinheiro","1, 0","87, 55","0, 1","0, 0",Women's,"KO/TKO, Punches",3,3:53,UFC Fight Night: Allen vs. Craig,"DATE: November 18, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Myktybek Orolbai, Uros Medic","0, 0","8, 14","7, 0","1, 0",Welterweight,"SUB, Neck Crank",2,4:12,UFC Fight Night: Allen vs. Craig,"DATE: November 18, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Joanderson Brito, Jonathan Pearce","0, 0","8, 14","1, 1","1, 0",Featherweight,"SUB, Guillotine Choke",2,3:54,UFC Fight Night: Allen vs. Craig,"DATE: November 18, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Jose Johnson, Chad Anheliger","0, 0","63, 26","1, 4","1, 0",Bantamweight,"SUB, Rear Naked Choke",3,4:49,UFC Fight Night: Allen vs. Craig,"DATE: November 18, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Christian Leroy Duncan, Denis Tiuliulin","1, 0","65, 30","0, 0","0, 0",Middleweight,"KO/TKO, Punches",2,4:24,UFC Fight Night: Allen vs. Craig,"DATE: November 18, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Mick Parkin, Caio Machado","0, 0","39, 76","3, 0","0, 0",Heavyweight,U-DEC,3,5:00,UFC Fight Night: Allen vs. Craig,"DATE: November 18, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Jeka Saragih, Lucas Alexander","1, 0","4, 11","1, 0","0, 0",Featherweight,"KO/TKO, Punch",1,1:31,UFC Fight Night: Allen vs. Craig,"DATE: November 18, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Ailin Perez, Lucie Pudilova","0, 0","42, 20","2, 0","0, 1",Women's,U-DEC,3,5:00,UFC Fight Night: Allen vs. Craig,"DATE: November 18, 2023","LOCATION: Las Vegas, Nevada, USA"
"NC, NC","Trey Ogden, Nikolas Motta","0, 0","58, 14","3, 0","1, 0",Lightweight,Overturned,3,3:11,UFC Fight Night: Allen vs. Craig,"DATE: November 18, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Rafael Estevam, Charles Johnson","0, 0","18, 72","3, 0","1, 0",Flyweight,U-DEC,3,5:00,UFC Fight Night: Allen vs. Craig,"DATE: November 18, 2023","LOCATION: Las Vegas, Nevada, USA"
WIN,"Alex Pereira, Jiri Prochazka","1, 0","38, 30","0, 1","1, 0",Light,"KO/TKO, Elbows",2,4:08,UFC 295: Prochazka vs. Pereira,"DATE: November 11, 2023","LOCATION: New York City, New York, USA"
WIN,"Tom Aspinall, Sergei Pavlovich","1, 0","10, 1","0, 0","0, 0",Heavyweight,"KO/TKO, Punch",1,1:09,UFC 295: Prochazka vs. Pereira,"DATE: November 11, 2023","LOCATION: New York City, New York, USA"
WIN,"Jessica Andrade, Mackenzie Dern","4, 0","53, 49","0, 0","0, 0",Women's,"KO/TKO, Punch",2,3:15,UFC 295: Prochazka vs. Pereira,"DATE: November 11, 2023","LOCATION: New York City, New York, USA"
WIN,"Benoit Saint Denis, Matt Frevola","1, 0","6, 5","0, 2","0, 0",Lightweight,"KO/TKO, Kick",1,1:31,UFC 295: Prochazka vs. Pereira,"DATE: November 11, 2023","LOCATION: New York City, New York, USA"
WIN,"Diego Lopes, Pat Sabatini","1, 0","13, 7","0, 0","0, 0",Featherweight,"KO/TKO, Punches",1,1:30,UFC 295: Prochazka vs. Pereira,"DATE: November 11, 2023","LOCATION: New York City, New York, USA"
WIN,"Steve Erceg, Alessandro Costa","0, 0","74, 54","1, 1","1, 0",Flyweight,U-DEC,3,5:00,UFC 295: Prochazka vs. Pereira,"DATE: November 11, 2023","LOCATION: New York City, New York, USA"
WIN,"Loopy Godinez, Tabatha Ricci","0, 0","98, 84","0, 0","0, 0",Women's,S-DEC,3,5:00,UFC 295: Prochazka vs. Pereira,"DATE: November 11, 2023","LOCATION: New York City, New York, USA"
WIN,"Mateusz Rebecki, Roosevelt Roberts","0, 0","10, 2","2, 0","1, 0",Lightweight,"SUB, Armbar",1,3:08,UFC 295: Prochazka vs. Pereira,"DATE: November 11, 2023","LOCATION: New York City, New York, USA"
"DRAW, DRAW","Nazim Sadykhov, Viacheslav Borshchev","1, 0","91, 143","4, 0","0, 0",Lightweight,M-DEC,3,5:00,UFC 295: Prochazka vs. Pereira,"DATE: November 11, 2023","LOCATION: New York City, New York, USA"
WIN,"Jared Gordon, Mark Madsen","1, 0","36, 35","0, 0","0, 0",Lightweight,"KO/TKO, Punch",1,4:42,UFC 295: Prochazka vs. Pereira,"DATE: November 11, 2023","LOCATION: New York City, New York, USA"
WIN,"John Castaneda, Kyung Ho Kang","0, 0","111, 88","3, 0","0, 0",Catch,U-DEC,3,5:00,UFC 295: Prochazka vs. Pereira,"DATE: November 11, 2023","LOCATION: New York City, New York, USA"
WIN,"Joshua Van, Kevin Borjas","0, 0","156, 75","2, 0","0, 0",Flyweight,U-DEC,3,5:00,UFC 295: Prochazka vs. Pereira,"DATE: November 11, 2023","LOCATION: New York City, New York, USA"
WIN,"Jamall Emmers, Dennis Buzukja","1, 0","14, 3","0, 0","0, 0",Featherweight,"KO/TKO, Punch",1,0:49,UFC 295: Prochazka vs. Pereira,"DATE: November 11, 2023","LOCATION: New York City, New York, USA"
WIN,"Jailton Almeida, Derrick Lewis","0, 0","38, 20","6, 0","4, 0",Heavyweight,U-DEC,5,5:00,UFC Fight Night: Almeida vs. Lewis,"DATE: November 04, 2023","LOCATION: Sao Paulo, Sao Paulo, Brazil"
WIN,"Nicolas Dalby, Gabriel Bonfim","1, 0","53, 39","0, 3","0, 1",Welterweight,"KO/TKO, Knees",2,4:33,UFC Fight Night: Almeida vs. Lewis,"DATE: November 04, 2023","LOCATION: Sao Paulo, Sao Paulo, Brazil"
WIN,"Rodrigo Nascimento, Don'Tale Mayes","0, 0","70, 79","0, 0","0, 0",Heavyweight,U-DEC,3,5:00,UFC Fight Night: Almeida vs. Lewis,"DATE: November 04, 2023","LOCATION: Sao Paulo, Sao Paulo, Brazil"
WIN,"Caio Borralho, Abus Magomedov","1, 0","51, 38","0, 0","0, 0",Middleweight,U-DEC,3,5:00,UFC Fight Night: Almeida vs. Lewis,"DATE: November 04, 2023","LOCATION: Sao Paulo, Sao Paulo, Brazil"
WIN,"Elves Brener, Kaynan Kruschewsky","1, 0","16, 8","0, 0","0, 0",Catch,"KO/TKO, Punch",1,4:01,UFC Fight Night: Almeida vs. Lewis,"DATE: November 04, 2023","LOCATION: Sao Paulo, Sao Paulo, Brazil"
"DRAW, DRAW","Rinat Fakhretdinov, Elizeu Zaleski dos Santos","1, 0","87, 75","1, 0","0, 1",Welterweight,M-DEC,3,5:00,UFC Fight Night: Almeida vs. Lewis,"DATE: November 04, 2023","LOCATION: Sao Paulo, Sao Paulo, Brazil"
